speciesID,"L2(D,p)","L1(D,p)","B(D,p)","L2(E,p)","L1(E,p)","B(E,p)"
Actephila excelsa,0,0,0,0,0,2.5
Aidia cochinchinensis,2.92,2.5,2.08,0,0.45,0.83
Cleistanthus myrianthus,0,0,0,1.43,0.45,1.67
Diospyros andamanica,0,0,0,2.86,2.73,0.83
Diospyros kurzii,2.5,1.39,0.42,2.86,0.45,0.42
Diospyros undulata,8.33,5.56,1.67,5,5.91,0.42
Fagraea racemosa,0,0,0,0,0,2.92
Ixora sp,1.25,1.39,0,2.14,0.45,0.42
Leea sp,2.92,2.22,0.42,2.14,4.09,1.67
Marsypopetalum crassum,0,0,0,0,2.73,0
Miliusa andamanica,0.42,1.11,0.42,0,2.73,0
Orophea hexandra,0.42,2.78,0,0,0,0
Pterospermum aceroides,1.25,1.11,1.67,3.57,0.45,1.25
Pterygota alata,0,0,0,2.14,0.91,0.83
Rinorea benghalensis,0.42,4.44,1.67,0.71,0,0
Tabernaemontana alternifolia,9.58,5.28,10.42,2.14,1.36,0
Trigonostemon viridissimis,0,0.56,0.42,2.14,0,0
